"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-01","16.78",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","28","H,,S","32",",,W","24",",,W","  360",",,W","  360",",,W","30.0",",,W","34.0",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-02","10.74",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","29","H,,S","32",",,W","23",",,W","  350",",,W","  350",",,W","16.1",",,W","19.9",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-03","3.13",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","31","H,,S","56",",,W","15",",,W","  340",",,W","  330",",,W","12.1",",,W","15.0",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-04","2.68",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","36","H,,S","54",",,W","22",",,W","  150",",,W","   60",",,W","8.1",",,W","10.1",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-05","4.47",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","49","H,,S","61",",,W","35",",,W","  180",",,W","  170",",,W","14.1",",,W","16.1",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-06","4.47",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","45","H,,S","64",",,W","29",",,W","  150",",,W","  160",",,W","15.0",",,W","19.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-07","10.29",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","59","H,,S","70",",,W","53",",,W","  190",",,W","  200",",,W","25.9",",,W","35.1",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-08","11.18",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","60","H,,S","69",",,W","36",",,W","   10",",,W","  330",",,W","21.0",",,W","27.1",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-09","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","48","H,,S","70",",,W","31",",,W","  170",",,W","  190",",,W","10.1",",,W","13.0",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-10","9.40",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","53","H,,S","72",",,W","40",",,W","  180",",,W","  180",",,W","21.0",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-11","12.53",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","61","H,,S","74",",,W","44",",,W","  330",",,W","  350",",,W","31.1",",,W","45.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-12","12.53",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","45","H,,S","56",",,W","31",",,W","  330",",,W","  350",",,W","25.1",",,W","36.0",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-13","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","38","H,,S","53",",,W","25",",,W","   10",",,W","   20",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-14","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","38","H,,S","61",",,W","21",",,W","  210",",,W","  210",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-15","8.72",",,W",,,"0.10",",,W,2400","0.0",",,W","0.0",",,W","45","H,,S","70",",,W","28",",,W","   10",",,W","  360",",,W","38.0",",,W","45.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.1831","-97.6799","146.3","2018-01-16","19.46",",,W",,,"0.08",",,W,2400","0.0","T,,W","0.0",",,W","36","H,,S","38",",,W","25",",,W","   10",",,W","   10",",,W","35.1",",,W","38.9",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,
